User_Id-Book_Id,Rating
242-343676,7.603539281892653
254-58191,7.603539281892653
503-76983,7.603539281892653
626-340144,7.603539281892653
628-261446,1.0
638-4590,4.592577243518637
651-121749,7.603539281892653
709-88382,4.233718836477005
882-87584,7.063872172877708
1010-44578,7.603539281892653
1409-108921,3.7541530898884785
1591-253027,7.603539281892653
1674-72226,3.109345586694966
1805-70709,7.603539281892653
1848-245898,7.603539281892653
1903-148869,1.0
2051-362539,7.603539281892653
2103-70309,3.138015501873978
2110-108921,1.8898365678369844
2110-149805,7.603539281892653
2209-360619,1.0
2276-37349,1.0
2276-315405,7.603539281892653
2296-158898,1.0
2442-361894,7.603539281892653
2481-34735,1.0
2569-121683,7.603539281892653
2665-20592,7.603539281892653
2855-82761,1.5327794551195788
2891-94349,1.2287646906671208
2972-114450,7.603539281892653
3416-246958,2.7521938584527015
3467-82520,1.0
3643-45632,1.0
4164-4720,1.9973798292508287
4333-268836,7.603539281892653
4385-49810,7.603539281892653
4896-237859,1.7751612757647783
5350-161441,7.603539281892653
5582-147707,6.694867991528359
5770-27690,7.603539281892653
6251-144768,4.392655946121536
6251-12106,2.791985590051936
6532-316254,5.560343167240241
6543-122126,3.835788642078547
6543-70692,3.4690969868770347
6543-121822,4.08718686001157
6575-37500,7.218737368568288
6575-103040,2.4959479028388603
6575-82240,3.195938386093735
6604-221467,7.603539281892653
6654-252774,7.603539281892653
6745-365899,7.603539281892653
7050-166416,7.603539281892653
7158-71110,3.4561107162819487
7286-238118,7.603539281892653
7286-76546,1.9045895696936748
7286-208898,1.0
7511-183054,7.603539281892653
7630-39002,7.603539281892653
7867-256048,1.0
7882-22802,7.603539281892653
7939-363558,7.603539281892653
8067-93721,6.762765904471407
8284-65857,1.77801220528243
8584-231034,1.048210340691856
8584-158729,1.0
8890-251343,7.603539281892653
8890-147262,7.603539281892653
8971-105557,7.603539281892653
9224-123633,7.603539281892653
9354-108754,6.863493073411862
9571-262117,1.400571919988071
9613-38236,3.0078079881909088
9745-118270,7.603539281892653
9747-69248,4.625992095287472
9872-325161,7.603539281892653
9974-60698,1.0
10067-26891,7.603539281892653
10189-19521,7.603539281892653
10447-44512,6.420611043034652
10618-107561,7.603539281892653
10776-256089,7.603539281892653
11206-226534,2.1175482443377214
11245-65012,5.517952112010405
11315-8841,1.1568813218505536
11400-219616,3.266633545564531
11676-11535,4.638139116760816
11676-171634,7.603539281892653
11676-138487,1.0
11676-261216,7.603539281892653
11676-250896,7.603539281892653
11676-108756,6.170385790364348
11676-117830,5.968704034441007
11676-305628,7.603539281892653
11676-306492,1.960679728351476
11676-168809,2.902119108480564
11676-144692,3.118013733274998
11676-7048,6.060899527791146
11676-65304,4.0535757497631115
11676-182977,4.266539324427096
